fraction_percent,class_name,dinov2_roc_auc_mean,dinov2_roc_auc_std,resnet18_roc_auc_mean,resnet18_roc_auc_std,roc_auc_gap_mean,roc_auc_gap_std,resnet18_roc_auc_wins,dinov2_roc_auc_wins,dinov2_ap_mean,dinov2_ap_std,resnet18_ap_mean,resnet18_ap_std,ap_gap_mean,ap_gap_std,resnet18_ap_wins,dinov2_ap_wins
25,infiltration,0.6606961557122369,0.002490925483324852,0.6761133370293738,0.003198094147370036,0.015417181317136874,0.005532686791345274,3,0,0.3075372074007768,0.004263230915878999,0.3158353159273581,0.006106511711235138,0.008298108526581268,0.009564703821737805,2,1
25,mass,0.6985515071424077,0.011323345963092452,0.8049679944622742,0.003995316635442142,0.10641648731986657,0.015019966369061562,3,0,0.13608899092812868,0.0036091439665210134,0.28966612172904416,0.028131818079590937,0.15357713080091548,0.029837821970668713,3,0
25,nodule,0.6482272953934475,0.014625378314146047,0.7003284996632048,0.00677287104121658,0.052101204269757284,0.007852582930689446,3,0,0.10616414775149396,0.005645393859127878,0.14636319808629206,0.0096306127438693,0.0401990503347981,0.010779236749539359,3,0
25,pneumonia,0.6684784304256944,0.01224688564459229,0.7276652754021079,0.011234296056872171,0.05918684497641358,0.007681590437953429,3,0,0.024406234482722198,0.0008702080882404286,0.04067537731514143,0.007603046848444726,0.01626914283241923,0.0068749081956667405,3,0
25,pneumothorax,0.7897411777486439,0.010516437849819267,0.8566650803526678,0.004414851167728723,0.06692390260402392,0.006745967845783015,3,0,0.18250765753596007,0.006839055174952249,0.2803734199190469,0.011034448616848372,0.09786576238308686,0.012603783860693543,3,0
25,consolidation,0.7649673055201806,0.006714624987193334,0.7939599115335613,0.01481923788379476,0.02899260601338079,0.018300794908869426,3,0,0.10845868070246002,0.006067275999798756,0.12310273598198378,0.006129971555355308,0.014644055279523735,0.00862827561390547,3,0
25,edema,0.8660250476449769,0.0034994988664001957,0.8948316544151012,0.0016962065759894213,0.028806606770124293,0.003288795602824508,3,0,0.10354332049646237,0.004007872390062337,0.13831250685452143,0.006233536190672466,0.034769186358059055,0.004531594825747881,3,0
25,emphysema,0.7677581742267057,0.004964834376570337,0.8411939168058048,0.006024501837319282,0.07343574257909924,0.0026370096192561846,3,0,0.09286647430279947,0.0037898570845996404,0.1777864834745236,0.024601143142624387,0.08492000917172415,0.02814479650340878,3,0
25,fibrosis,0.7032096539600907,0.00484945051003813,0.7653273003349687,0.012950116055703996,0.0621176463748779,0.017507154583775317,3,0,0.046392710712895906,0.0031324032490122325,0.06841453871259576,0.004972072940746506,0.022021827999699862,0.0018400694898447647,3,0
25,pleural,0.722079804699646,0.011786666609055144,0.7630243880920448,0.012489265196717694,0.04094458339239859,0.004134120922281656,3,0,0.09703553168417928,0.0069616898524534915,0.11130799881827098,0.00835228986369243,0.01427246713409173,0.013006106172006114,2,1
25,hernia,0.7704441215104584,0.016555538025338976,0.8124480869070633,0.010930347675450175,0.04200396539660515,0.005718648885843419,3,0,0.014834583507339566,0.00476603990974004,0.0306433043744984,0.011850722522037883,0.015808720867158833,0.008875859764950922,3,0
50,atelectasis,0.7406013885570863,0.0010860091635950145,0.7992945139017923,0.003704679342100603,0.05869312534470602,0.00473385006625965,3,0,0.23206748075828498,0.002037310443436028,0.308559105781393,0.008248227073534871,0.07649162502310804,0.010092257962582174,3,0
50,cardiomegaly,0.7645952879740109,0.007550610861113196,0.8984820768942728,0.010434616901371584,0.13388678892026187,0.00790799704640325,3,0,0.0842014957107044,0.005810729694614908,0.2400794830406642,0.006272013174706151,0.1558779873299598,0.005934087750486152,3,0
50,effusion,0.811992938024462,0.0013427643236085603,0.8704086789185409,0.0006514954181617793,0.058415740894078895,0.0019517561497326575,3,0,0.35152361142520533,0.00012390720413066488,0.48200902167377463,0.011489430377344245,0.13048541024856933,0.011612597813515214,3,0
50,infiltration,0.6654804707134035,0.001405537357935246,0.6871378080555801,0.0008396923551256205,0.021657337342176453,0.002226719988793541,3,0,0.31171505930697246,0.001584807066995268,0.328548311248174,0.005970798651427615,0.016833251941201593,0.0051255847788372905,3,0
50,mass,0.7096062425272166,0.0030260927915787346,0.8343771191240325,0.009602670457458752,0.12477087659681589,0.012573730735257289,3,0,0.14552485802409762,0.0023478939628435607,0.3349676951659381,0.01512740078983743,0.1894428371418404,0.013962207347382492,3,0
50,nodule,0.6665555893598348,0.0015082366399708075,0.7184142077642447,0.011002277470630732,0.05185861840440994,0.009656094135245832,3,0,0.11801536959066777,0.0024829508152818375,0.16691203177295644,0.004572786721764318,0.04889666218228864,0.006769014260222578,3,0
50,pneumonia,0.6881512368328361,0.0050986941801620025,0.7394799464835641,0.0055262646044668285,0.05132870965072789,0.009913996466983445,3,0,0.02763221277464317,0.0009454606026802806,0.042907739413458164,0.004805959182008587,0.015275526638815004,0.004640099918826028,3,0
50,pneumothorax,0.802264879872206,0.004064750841607359,0.8696534428568959,0.005944250073949523,0.06738856298468998,0.008625011618210054,3,0,0.208654395075055,0.008085292123045717,0.31026149825765875,0.012876704570361587,0.10160710318260373,0.016245830045846097,3,0
50,consolidation,0.7718257874628979,0.004946150623972989,0.8087539075123091,0.003527606733339518,0.036928120049411296,0.006176208429475149,3,0,0.11270774796869314,0.005539472204969041,0.13709230393778127,0.008497522686241855,0.024384555969088128,0.012277483613492755,3,0
50,edema,0.8724252049490274,0.0032887079631256414,0.9002562240977704,0.006730918669194988,0.027831019148743048,0.006741084728302314,3,0,0.1092517990960633,0.0004378510369500183,0.15400223521347164,0.015124420423504098,0.04475043611740834,0.014773036666852308,3,0
50,emphysema,0.7741478364293051,0.0037259364113794015,0.8543506318855969,0.012906737799464465,0.08020279545629183,0.014850940779624996,3,0,0.1074558679406701,0.005733318425024137,0.21784846106460978,0.019228470008873753,0.11039259312393969,0.020444390032765204,3,0
50,fibrosis,0.7200244023229442,0.003001203340215574,0.7894464858438548,0.015480430473183112,0.06942208352091073,0.01596054118385658,3,0,0.05113564839444843,0.0026549058947223066,0.06946975664661424,0.010630088995596889,0.0183341082521658,0.00805140511716711,3,0
50,pleural,0.7391095203966014,0.008297506399258425,0.7770438401447569,0.011151987529747673,0.037934319748155455,0.0031522227155728394,3,0,0.1104357781136236,0.0028246654729192342,0.13339066403513752,0.011591102517417302,0.02295488592151393,0.010092737834769468,3,0
50,hernia,0.797137815715248,0.028986414038843285,0.8308953272034062,0.021988834833503987,0.033757511488158344,0.011263471248642033,3,0,0.03402894647340216,0.011536282427140544,0.021214528686862934,0.0038607254199588283,-0.012814417786539231,0.01376503647535991,1,2
100,atelectasis,0.7443963551851164,0.0009789279080068694,0.8063733384062267,0.007587217987100589,0.06197698322111026,0.008234984211840601,3,0,0.23534231688246252,0.0016759482329075787,0.32094725275930386,0.00982683983637041,0.08560493587684137,0.010916832792807094,3,0
